ProjectSize,Budget,NumberOfWorkers,WeatherConditions,MaterialAvailability,TargetCompletionDate,Delayed,ProjectManagerExperience,SubcontractorReliability,RegulatoryApprovalStatus,SiteAccessibility,DailyWorkHours,NumberOfSubcontractors,ResourceAvailability,ClientDemand,EconomicConditions,PreviousDelays
664623.0,2651496.0,346.0,Snowy,High,2024-11-25,0.0,13.0,Medium,Pending,Good,11.0,5.0,High,Low,Favorable,3.0
208953.0,718551.0,157.0,Sunny,Medium,2025-11-11,1.0,12.0,High,Approved,Poor,10.0,16.0,High,Low,Unfavorable,4.0
179346.0,1574851.0,182.0,Rainy,,2024-05-20,0.0,4.0,High,Pending,Good,10.0,13.0,High,High,Favorable,1.0
128672.0,4025210.0,125.0,Cloudy,Low,2024-12-08,0.0,13.0,Low,Rejected,Good,7.0,10.0,Low,Low,Unfavorable,
737322.0,2340213.0,160.0,Sunny,High,2024-04-06,0.0,6.0,Medium,Approved,Poor,9.0,12.0,Medium,High,Neutral,3.0
458812.0,1889327.0,417.0,Cloudy,Medium,2025-04-24,1.0,8.0,High,,Moderate,7.0,12.0,,Medium,Neutral,0.0
915180.0,,414.0,Cloudy,High,2023-05-04,0.0,7.0,,Approved,Moderate,7.0,17.0,Medium,Medium,Neutral,0.0
167061.0,701481.0,206.0,Cloudy,Low,2023-07-07,1.0,12.0,Low,,Moderate,11.0,16.0,Medium,Low,Favorable,4.0
384278.0,1962567.0,55.0,Rainy,Medium,,1.0,14.0,High,Pending,Poor,11.0,7.0,Medium,Medium,Favorable,4.0
634242.0,1181753.0,,Cloudy,Medium,2024-03-28,0.0,13.0,Medium,,Poor,,2.0,,Low,Unfavorable,4.0
104842.0,2842036.0,444.0,Rainy,Medium,2023-06-25,0.0,,High,Pending,Good,8.0,9.0,High,,Unfavorable,0.0
666459.0,4431085.0,84.0,Sunny,High,2024-03-22,,10.0,Low,Pending,Moderate,10.0,17.0,Low,High,Neutral,0.0
477035.0,,,Sunny,,2024-12-22,0.0,5.0,Medium,Approved,,8.0,16.0,Medium,Medium,Favorable,4.0
481417.0,,126.0,Sunny,Low,2024-02-12,1.0,18.0,Medium,Pending,Moderate,9.0,6.0,Low,Low,Unfavorable,2.0
904944.0,777498.0,438.0,Snowy,High,2025-06-07,0.0,19.0,High,Rejected,Good,7.0,19.0,Low,Low,Favorable,2.0
573381.0,2172712.0,421.0,Cloudy,High,2024-01-09,0.0,,Medium,Pending,Poor,6.0,3.0,High,Low,Favorable,3.0
498225.0,640174.0,59.0,,Medium,2024-07-30,,17.0,Medium,Approved,Good,9.0,8.0,Medium,Medium,Neutral,1.0
923721.0,2011284.0,302.0,Cloudy,Medium,2024-01-15,0.0,7.0,High,Approved,Moderate,9.0,14.0,High,High,Unfavorable,1.0
107807.0,1627377.0,190.0,,Low,2023-05-26,,7.0,Low,Approved,Poor,,18.0,Low,High,Favorable,3.0
518482.0,777720.0,369.0,Sunny,,2024-08-21,1.0,9.0,Medium,,Poor,7.0,15.0,High,Low,Neutral,3.0
714203.0,,289.0,Snowy,Medium,,1.0,18.0,Low,Pending,Moderate,10.0,5.0,Low,Medium,Unfavorable,
432720.0,874309.0,262.0,Sunny,High,2023-07-05,1.0,3.0,Low,Pending,Poor,9.0,18.0,High,Low,Unfavorable,1.0
331771.0,1267059.0,175.0,Rainy,Medium,2023-07-01,1.0,10.0,Low,Approved,Good,,2.0,Low,High,Unfavorable,4.0
384370.0,3198334.0,388.0,Snowy,Low,2025-11-17,0.0,2.0,Medium,Rejected,Moderate,9.0,11.0,High,Low,Neutral,
270667.0,4750914.0,411.0,Rainy,High,2025-12-03,0.0,7.0,Low,Pending,Moderate,6.0,8.0,Medium,Medium,Neutral,0.0
376890.0,2177755.0,426.0,Cloudy,High,2024-11-06,0.0,14.0,High,Rejected,Moderate,11.0,9.0,,Medium,Neutral,4.0
824521.0,,89.0,Cloudy,Low,2023-11-21,0.0,11.0,Medium,,Good,8.0,5.0,High,Low,Neutral,3.0
161021.0,4712132.0,153.0,Snowy,Medium,2024-04-04,0.0,8.0,Low,,Good,10.0,12.0,Medium,Low,Favorable,0.0
887590.0,3691839.0,165.0,Snowy,Medium,2024-02-11,0.0,10.0,Low,Approved,Good,11.0,18.0,,High,Favorable,4.0
771106.0,4648868.0,158.0,Sunny,Medium,2025-12-29,0.0,14.0,High,Pending,Moderate,10.0,5.0,Low,Medium,Unfavorable,1.0
852409.0,4208718.0,,Rainy,Low,2025-02-10,0.0,,High,Rejected,Poor,8.0,8.0,High,Medium,Unfavorable,1.0
460184.0,3512394.0,335.0,,Low,,0.0,1.0,Medium,Approved,Poor,11.0,2.0,Medium,Low,Unfavorable,0.0
375246.0,4539172.0,,Rainy,Medium,2025-03-13,0.0,17.0,High,Rejected,Poor,,19.0,Medium,Low,Unfavorable,3.0
258856.0,553275.0,139.0,Snowy,Low,2024-11-28,0.0,12.0,High,Approved,Good,9.0,9.0,Medium,Low,Favorable,1.0
941486.0,1338708.0,484.0,Sunny,Medium,,0.0,1.0,Low,Rejected,Poor,8.0,,Low,Medium,Unfavorable,2.0
343151.0,3898602.0,57.0,Snowy,High,2024-09-28,0.0,1.0,Medium,Approved,Poor,6.0,6.0,High,Medium,Favorable,2.0
644809.0,1250022.0,61.0,Rainy,Low,2024-09-27,0.0,12.0,High,Approved,Moderate,8.0,1.0,Medium,Medium,Unfavorable,0.0
988490.0,,429.0,,Medium,2025-01-10,1.0,10.0,High,Pending,Poor,10.0,1.0,Low,Medium,Unfavorable,
150577.0,704257.0,,Cloudy,,2023-04-15,0.0,12.0,Low,Rejected,Moderate,9.0,13.0,Low,High,Favorable,2.0
353075.0,3754786.0,175.0,Rainy,Low,2025-04-14,1.0,19.0,High,Approved,Poor,6.0,10.0,High,High,,3.0
132494.0,2027069.0,340.0,,Low,,,13.0,High,Pending,Moderate,6.0,5.0,High,High,Unfavorable,4.0
381170.0,3758423.0,480.0,Rainy,Medium,2023-03-01,0.0,19.0,,Rejected,Moderate,10.0,9.0,Low,Medium,Neutral,0.0
536866.0,3660368.0,343.0,Cloudy,Low,2025-10-13,0.0,9.0,High,Approved,Poor,7.0,,,Low,,4.0
,3082828.0,336.0,Sunny,Medium,2023-07-16,0.0,7.0,Medium,Pending,Good,8.0,,High,Low,Unfavorable,3.0
409527.0,1315748.0,483.0,Cloudy,Medium,2024-10-21,0.0,9.0,High,Pending,Poor,7.0,6.0,Medium,High,Unfavorable,0.0
421175.0,702289.0,373.0,Rainy,Medium,2024-11-29,0.0,11.0,Medium,Pending,Good,7.0,5.0,Low,High,Favorable,1.0
398633.0,,112.0,Rainy,Medium,2023-10-29,0.0,18.0,Medium,Pending,Poor,8.0,,High,Low,Unfavorable,1.0
834488.0,2900908.0,,Sunny,Medium,2023-10-03,0.0,7.0,High,Pending,Poor,11.0,,High,,Unfavorable,2.0
912684.0,1762498.0,269.0,Rainy,Medium,2024-01-07,1.0,5.0,Medium,Pending,Moderate,10.0,19.0,,High,Neutral,2.0
990468.0,4295396.0,494.0,Snowy,High,,,12.0,,Rejected,Moderate,9.0,10.0,Low,Low,Neutral,2.0
620424.0,1599547.0,224.0,Cloudy,Medium,2025-04-05,0.0,4.0,High,Approved,Poor,7.0,2.0,Medium,,Neutral,3.0
877519.0,1541218.0,171.0,Snowy,High,,0.0,5.0,High,Pending,Poor,8.0,11.0,Medium,Low,Favorable,0.0
956069.0,3837584.0,240.0,Sunny,Medium,2024-06-02,0.0,,Medium,Approved,Moderate,9.0,,High,Low,,4.0
440454.0,1916032.0,107.0,Cloudy,High,2023-11-12,1.0,1.0,Medium,Pending,,7.0,17.0,Medium,,Neutral,0.0
,699678.0,,Snowy,Medium,,0.0,5.0,,Pending,Poor,11.0,1.0,Medium,Medium,Favorable,2.0
251538.0,,303.0,Snowy,,2023-06-15,0.0,5.0,Low,Rejected,Good,7.0,4.0,Low,,Neutral,
998792.0,4590012.0,489.0,Cloudy,,2023-12-21,0.0,11.0,,Rejected,Good,8.0,1.0,Low,Low,Unfavorable,3.0
,540585.0,,Sunny,Low,2023-10-27,0.0,10.0,Medium,Rejected,Good,6.0,,Low,Low,Unfavorable,1.0
658580.0,,469.0,Cloudy,High,2023-12-26,0.0,15.0,Medium,Pending,Poor,6.0,17.0,Medium,Medium,Neutral,1.0
237002.0,2618821.0,216.0,Snowy,Medium,2025-06-07,0.0,1.0,,Approved,Poor,7.0,17.0,,High,Unfavorable,1.0
761465.0,645948.0,292.0,Rainy,High,2024-03-04,1.0,17.0,Low,Pending,Good,11.0,16.0,High,Low,,0.0
727468.0,2518170.0,203.0,Sunny,Medium,2025-02-04,1.0,4.0,Low,Rejected,Moderate,6.0,15.0,Low,Medium,,1.0
487178.0,4310565.0,67.0,Rainy,High,2025-02-02,0.0,17.0,Low,Rejected,Good,9.0,16.0,Medium,Low,Favorable,0.0
907376.0,3776222.0,127.0,Rainy,Medium,2025-11-12,0.0,1.0,Low,,Moderate,9.0,,Medium,High,Unfavorable,
203165.0,535248.0,,Rainy,High,2025-01-01,0.0,17.0,Low,Approved,Moderate,6.0,3.0,Medium,High,Favorable,2.0
206714.0,3294033.0,354.0,Sunny,Medium,2025-07-22,1.0,,Low,Rejected,Good,8.0,9.0,Medium,Medium,Unfavorable,4.0
373637.0,899767.0,89.0,Cloudy,Medium,2025-10-25,1.0,14.0,High,Approved,Moderate,9.0,16.0,Medium,Medium,Favorable,1.0
663547.0,2822255.0,209.0,Snowy,Low,2024-04-23,1.0,9.0,High,Rejected,Good,11.0,12.0,Low,Medium,Unfavorable,2.0
716705.0,2175969.0,131.0,Rainy,Medium,2024-08-01,1.0,16.0,Medium,Rejected,Moderate,9.0,16.0,Low,Low,Favorable,2.0
592558.0,3381541.0,81.0,Sunny,High,2023-04-02,,18.0,Low,Approved,Poor,10.0,,Medium,Low,Favorable,2.0
115556.0,3860527.0,,Sunny,Medium,2025-11-04,1.0,16.0,Low,,Moderate,7.0,7.0,Medium,Low,Neutral,3.0
139374.0,964039.0,241.0,Cloudy,Medium,2025-03-31,0.0,1.0,Low,Rejected,Poor,,4.0,Low,High,Unfavorable,0.0
,4623406.0,352.0,Rainy,Low,2023-01-14,0.0,19.0,Medium,,Good,7.0,18.0,Medium,Medium,Favorable,3.0
235036.0,,187.0,Snowy,Low,,0.0,5.0,High,Pending,Poor,8.0,,,High,Neutral,4.0
148672.0,3264853.0,178.0,Cloudy,High,2024-07-15,,17.0,High,Pending,Good,7.0,3.0,High,Medium,Favorable,0.0
291520.0,3989085.0,207.0,Sunny,High,2024-11-08,1.0,4.0,High,Rejected,Moderate,,1.0,Medium,Low,Unfavorable,2.0
821021.0,4782492.0,457.0,Cloudy,Low,2023-12-08,0.0,7.0,High,Pending,Poor,,,High,High,Unfavorable,1.0
988458.0,1019481.0,124.0,,,2025-01-17,0.0,2.0,Medium,Pending,,7.0,12.0,High,Medium,Unfavorable,2.0
164365.0,3287282.0,217.0,Cloudy,Medium,2024-01-08,1.0,3.0,Medium,,Good,8.0,12.0,Low,Medium,Favorable,0.0
139674.0,3327189.0,353.0,Rainy,Medium,2024-11-04,1.0,2.0,High,Rejected,Poor,9.0,1.0,Low,Low,Unfavorable,1.0
295847.0,2615887.0,360.0,Sunny,,2025-11-24,0.0,,Low,Approved,Poor,7.0,12.0,Medium,Low,Neutral,4.0
274888.0,2953655.0,64.0,Snowy,,2025-01-23,,4.0,Low,Rejected,Poor,10.0,3.0,Low,High,Favorable,1.0
129965.0,3668739.0,99.0,Cloudy,Medium,,0.0,,Low,Approved,Good,7.0,7.0,,High,,4.0
399017.0,1796125.0,67.0,Sunny,High,,1.0,4.0,Medium,Approved,Poor,11.0,2.0,Medium,High,Favorable,4.0
809849.0,,362.0,Rainy,Low,2024-01-24,0.0,13.0,Medium,Approved,Good,7.0,1.0,,Low,Neutral,2.0
917243.0,4330492.0,254.0,,Medium,2023-02-19,1.0,13.0,High,Approved,Good,10.0,7.0,Low,High,Unfavorable,2.0
684595.0,3777935.0,284.0,Sunny,Medium,2024-12-06,1.0,4.0,Low,Pending,Poor,9.0,13.0,,Low,Neutral,2.0
857695.0,2218386.0,90.0,,Low,,1.0,4.0,Medium,Pending,Good,7.0,,High,Low,,3.0
492045.0,789929.0,125.0,Cloudy,Low,2023-05-13,,9.0,Medium,Pending,Poor,8.0,14.0,Medium,Medium,Unfavorable,4.0
599109.0,664577.0,116.0,Sunny,High,2025-08-06,0.0,13.0,High,Rejected,Good,6.0,2.0,Medium,Medium,Neutral,4.0
453075.0,3101698.0,64.0,Cloudy,Low,2023-03-17,0.0,9.0,Medium,Approved,Poor,7.0,4.0,Low,Medium,Unfavorable,1.0
407605.0,,130.0,Cloudy,High,2023-07-06,0.0,16.0,High,Approved,Good,10.0,14.0,High,Medium,Neutral,1.0
982369.0,511584.0,88.0,Rainy,Low,2023-08-27,,19.0,Low,Rejected,Good,11.0,,Low,Medium,Neutral,2.0
922950.0,3533871.0,71.0,Sunny,High,2024-08-14,0.0,10.0,High,Rejected,Good,11.0,9.0,High,Medium,Neutral,
832672.0,4011079.0,332.0,Sunny,High,2025-05-23,0.0,,High,Pending,Poor,7.0,1.0,High,Medium,Unfavorable,1.0
447537.0,2174534.0,253.0,Cloudy,Medium,2024-05-02,0.0,7.0,Low,Approved,Good,7.0,18.0,High,High,Favorable,2.0
399951.0,3009726.0,129.0,Sunny,Medium,2024-07-16,0.0,2.0,High,Approved,Poor,7.0,3.0,Low,High,Favorable,
606624.0,2700591.0,208.0,Sunny,High,2024-08-13,0.0,17.0,High,,Good,10.0,11.0,High,Medium,Unfavorable,2.0
924876.0,4266856.0,265.0,Cloudy,Low,2025-08-26,,6.0,High,Rejected,,10.0,13.0,Medium,High,Unfavorable,1.0
484371.0,4503142.0,131.0,Snowy,Low,2023-10-10,1.0,10.0,Medium,Approved,Moderate,9.0,1.0,High,Low,Favorable,3.0
706769.0,4090216.0,132.0,Sunny,High,2023-01-01,0.0,16.0,High,Rejected,Moderate,11.0,7.0,Medium,High,Favorable,0.0
590210.0,4458443.0,124.0,Snowy,High,2025-06-20,1.0,9.0,High,Rejected,Good,11.0,11.0,Medium,High,,2.0
227348.0,3639135.0,344.0,Cloudy,High,2023-02-01,1.0,4.0,Medium,,,11.0,14.0,Low,Medium,Unfavorable,2.0
559694.0,2875931.0,455.0,Sunny,Low,2025-07-13,1.0,18.0,High,Pending,Good,8.0,6.0,Low,Medium,Favorable,0.0
109449.0,4371418.0,138.0,Cloudy,Medium,,0.0,5.0,High,,Poor,10.0,11.0,High,Medium,Neutral,4.0
347123.0,2157451.0,87.0,Cloudy,Medium,2024-11-24,1.0,11.0,Medium,Pending,Poor,,15.0,High,High,Neutral,0.0
771713.0,3207511.0,457.0,Snowy,Low,2024-04-28,1.0,3.0,Medium,Pending,Good,11.0,12.0,,,Favorable,1.0
,3555093.0,297.0,Rainy,Medium,2025-07-10,1.0,16.0,High,Rejected,Poor,,,Low,High,Unfavorable,4.0
926566.0,4794499.0,,,Low,2025-01-06,0.0,6.0,Low,,Moderate,11.0,3.0,Medium,High,Neutral,4.0
497225.0,,376.0,Cloudy,Low,2024-08-28,0.0,16.0,High,Pending,Poor,,16.0,Low,Low,Favorable,3.0
882378.0,4224556.0,74.0,Sunny,High,2023-06-11,1.0,11.0,Medium,,Good,6.0,9.0,Medium,Low,Unfavorable,3.0
,4750959.0,463.0,Cloudy,High,,1.0,15.0,Low,Rejected,Poor,9.0,5.0,High,Medium,Neutral,4.0
805992.0,4779541.0,432.0,Snowy,Medium,2025-06-01,1.0,19.0,Medium,Approved,Poor,11.0,10.0,Medium,High,Neutral,1.0
643620.0,1096045.0,439.0,Sunny,Low,2023-05-06,1.0,3.0,Medium,Pending,Good,10.0,7.0,High,Low,Neutral,2.0
376434.0,3308892.0,204.0,Cloudy,High,2024-01-19,0.0,17.0,Medium,Rejected,Poor,10.0,18.0,High,,Favorable,
209817.0,1514561.0,387.0,Cloudy,Low,2025-04-05,,5.0,High,Pending,Moderate,6.0,12.0,Medium,High,Neutral,0.0
174912.0,3353190.0,106.0,Rainy,Low,2024-10-12,,9.0,Medium,Pending,Poor,6.0,1.0,Low,Low,Favorable,1.0
617109.0,2517984.0,236.0,Rainy,,2023-01-15,0.0,10.0,Medium,Rejected,Moderate,7.0,18.0,Low,High,Neutral,
165961.0,2142238.0,343.0,Rainy,Low,2025-10-10,0.0,4.0,Low,Approved,Poor,11.0,7.0,Medium,Low,Favorable,1.0
385851.0,1865392.0,487.0,Rainy,Medium,2023-06-14,1.0,5.0,Medium,Approved,,7.0,16.0,Low,High,Unfavorable,4.0
110849.0,604339.0,333.0,Sunny,Medium,2024-12-17,0.0,6.0,Medium,Pending,Good,,15.0,Medium,Low,Unfavorable,3.0
228509.0,653312.0,131.0,Rainy,Medium,2025-06-09,0.0,7.0,Medium,Pending,Good,6.0,19.0,Medium,Low,Neutral,4.0
314516.0,3666911.0,,Snowy,Medium,2025-11-16,0.0,11.0,Low,Approved,Good,7.0,,Medium,Medium,Unfavorable,1.0
286266.0,3544828.0,446.0,,High,2025-09-09,0.0,8.0,High,Pending,Good,9.0,13.0,Low,Medium,Favorable,4.0
249810.0,2168206.0,399.0,Rainy,High,,0.0,11.0,Medium,Approved,Poor,11.0,14.0,High,Low,Unfavorable,0.0
201585.0,3601930.0,157.0,,High,2024-06-02,0.0,,,,Poor,10.0,18.0,Medium,Medium,Unfavorable,1.0
657980.0,529184.0,424.0,Snowy,Medium,2025-12-22,1.0,1.0,Low,Pending,Poor,9.0,10.0,High,Low,Favorable,
518709.0,2050934.0,210.0,Rainy,Low,2024-06-06,1.0,17.0,Medium,Approved,Good,11.0,18.0,,Low,Neutral,2.0
708747.0,2951602.0,142.0,Rainy,Medium,2024-05-09,0.0,1.0,High,Pending,Poor,10.0,19.0,Medium,Medium,Favorable,0.0
196840.0,1566836.0,,Rainy,,,,14.0,High,Approved,Poor,9.0,16.0,High,Low,,2.0
806487.0,,277.0,Sunny,Medium,,1.0,16.0,Low,Pending,Moderate,10.0,4.0,High,Low,Unfavorable,1.0
360180.0,4499574.0,447.0,Cloudy,Medium,2023-04-03,0.0,6.0,Medium,,,9.0,6.0,High,High,Neutral,1.0
639673.0,3713789.0,272.0,Snowy,Low,2023-08-29,,1.0,Low,Pending,,7.0,,Medium,High,Favorable,4.0
194027.0,4457482.0,64.0,Sunny,High,2024-04-06,0.0,2.0,Medium,Approved,Good,8.0,9.0,Medium,High,Favorable,0.0
462858.0,3827379.0,435.0,Cloudy,Medium,2024-07-23,0.0,7.0,High,,Good,10.0,5.0,Low,High,Favorable,1.0
391989.0,2077948.0,289.0,Sunny,High,2024-07-20,0.0,18.0,High,,Moderate,11.0,7.0,Medium,Low,Neutral,0.0
283979.0,4181844.0,,,,2024-04-14,0.0,11.0,Low,Approved,Moderate,7.0,15.0,Low,,Neutral,1.0
421294.0,2268323.0,103.0,Sunny,Low,2025-07-28,0.0,13.0,High,Approved,Moderate,10.0,7.0,Low,High,,1.0
,2242895.0,453.0,Snowy,Medium,2023-04-05,0.0,11.0,Low,Approved,Moderate,6.0,2.0,,Medium,Favorable,1.0
113017.0,3336692.0,56.0,Cloudy,High,2024-04-29,1.0,12.0,,Approved,Moderate,11.0,19.0,Medium,High,Favorable,0.0
767091.0,532402.0,113.0,Sunny,Low,,0.0,15.0,Low,Pending,Poor,10.0,8.0,Low,Medium,Favorable,2.0
851436.0,3403647.0,199.0,,Medium,2023-05-30,1.0,8.0,High,Approved,,8.0,10.0,Low,Medium,Unfavorable,0.0
983672.0,2248750.0,,Rainy,High,2023-10-08,0.0,,Medium,Pending,Good,10.0,19.0,High,Low,Favorable,1.0
512824.0,3038246.0,471.0,Snowy,High,2023-12-05,1.0,1.0,Low,Pending,Moderate,7.0,7.0,Low,Medium,Unfavorable,2.0
141299.0,,334.0,Sunny,Low,2025-05-23,0.0,6.0,Low,Pending,Good,10.0,8.0,Medium,Low,Favorable,3.0
870886.0,3136886.0,464.0,Sunny,Medium,2024-05-02,0.0,19.0,Medium,Pending,Poor,10.0,1.0,Low,Low,Neutral,1.0
573635.0,4427409.0,,Rainy,High,2025-07-22,1.0,7.0,Medium,Pending,Poor,,7.0,High,Low,Favorable,3.0
691033.0,871816.0,305.0,Cloudy,Low,2025-04-16,1.0,7.0,Medium,Approved,,8.0,3.0,High,Low,Favorable,0.0
273245.0,661185.0,479.0,Sunny,Low,2023-01-02,0.0,6.0,Medium,,Poor,11.0,7.0,Medium,Medium,Unfavorable,1.0
,4608008.0,134.0,Sunny,High,2023-07-21,0.0,6.0,High,Approved,Poor,6.0,2.0,Medium,Low,Favorable,2.0
953911.0,3639400.0,385.0,Sunny,High,2023-10-07,0.0,12.0,Medium,Approved,Moderate,7.0,1.0,Medium,Low,Unfavorable,3.0
807298.0,4331682.0,432.0,Sunny,Low,2024-05-23,0.0,3.0,Low,Approved,Poor,11.0,,High,Low,Neutral,1.0
559637.0,2109308.0,133.0,Rainy,Low,2025-12-07,0.0,3.0,Low,Approved,Poor,10.0,6.0,Medium,Low,Unfavorable,1.0
866012.0,693183.0,358.0,,Medium,2023-06-16,1.0,6.0,Medium,,Good,,8.0,Medium,Medium,Favorable,0.0
826255.0,4919411.0,104.0,Snowy,High,2025-12-05,1.0,17.0,High,Rejected,,10.0,,High,High,Favorable,1.0
